date,pm25,pm10,o3,no2,so2,co,psi
31/12/2013, , 29, 18, 6, 2, 3, 29
01/01/2014, 68, 29, 20, 7, 3, 3, 35
02/01/2014, 69, 30, 17, 7, 2, 3, 30
03/01/2014, 72, 24, 14, 11, 2, 4, 24
04/01/2014, 61, 20, 7, 8, 3, 5, 13
05/01/2014, 48, 15, 8, 10, 2, 4, 20
06/01/2014, 40, 29, 13, 11, 2, 4, 34
07/01/2014, 66, 29, 15, 9, 2, 4, 28
08/01/2014, 67, 20, 10, 12, 2, 4, 19
09/01/2014, 53, 22, 20, 15, 5, 5, 24
10/01/2014, 58, 21, 14, 8, 8, 4, 16
11/01/2014, 53, 18, 12, 4, 1, 5, 20
12/01/2014, 48, 21, 17, 5, 1, 4, 27
13/01/2014, 52, 26, 14, 7, 2, 4, 33
14/01/2014, 57, 27, 21, 8, 1, 2, 36
15/01/2014, 60, 31, 29, 8, 1, 2, 37
16/01/2014, 69, 31, 28, 6, 2, 3, 31
17/01/2014, 68, 26, 20, 5, 1, 2, 28
18/01/2014, 58, 27, 21, 3, 1, 2, 29
19/01/2014, 56, 27, 20, 6, 2, 2, 30
20/01/2014, 60, 29, 26, 7, , 3, 34
21/01/2014, 65, 33, 25, 7, , 4, 33
22/01/2014, 70, 35, 31, 7, 2, 6, 45
23/01/2014, 78, 41, 29, 7, 1, 4, 47
24/01/2014, 87, 39, 23, 6, 1, 4, 42
25/01/2014, 81, 34, 31, 4, 2, 5, 38
26/01/2014, 72, 29, 26, 5, 2, 4, 31
27/01/2014, 69, 26, 20, 5, 2, 3, 32
28/01/2014, 61, 24, 19, 5, , 3, 26
29/01/2014, 53, 25, 21, 6, 2, 5, 24
30/01/2014, 56, 23, 21, 3, 2, 5, 26
31/01/2014, 54, 22, 26, 3, 3, 4, 24
01/02/2014, 55, 19, 22, 3, 3, 5, 23
02/02/2014, 52, 19, 24, 6, 3, 5, 21
03/02/2014, 52, 21, 27, 6, 2, 3, 30
04/02/2014, 57, 28, 26, 6, 2, 4, 32
05/02/2014, 68, 22, 19, 5, 2, 4, 24
06/02/2014, 58, 19, 18, 5, 2, 3, 25
07/02/2014, 52, 27, 23, 7, 2, 5, 39
08/02/2014, 66, 28, 31, 7, 2, 5, 30
09/02/2014, 68, 27, 27, 8, 4, 5, 31
10/02/2014, 65, 24, 16, 5, 3, 5, 29
11/02/2014, 59, 24, 18, 5, 2, 4, 29
12/02/2014, 60, 29, 16, 5, 2, 3, 34
13/02/2014, 67, 27, 18, 4, 2, 3, 31
14/02/2014, 62, 29, 25, 4, , 3, 35
15/02/2014, 62, 30, 24, 2, , 4, 31
16/02/2014, 63, 26, 21, 4, 1, 4, 34
17/02/2014, 60, 25, 19, 4, 1, 4, 34
18/02/2014, 58, 24, 19, 5, 2, 4, 32
19/02/2014, 56, 23, 19, 5, 2, 4, 26
20/02/2014, 56, 23, 14, 5, 2, 4, 30
21/02/2014, 54, 27, 21, 4, 2, 4, 33
22/02/2014, 58, 31, 25, 4, 2, 4, 32
23/02/2014, 63, 30, 27, 5, 2, 4, 35
24/02/2014, 66, 30, 21, 6, 2, 4, 35
25/02/2014, 66, 30, 19, 5, 3, 2, 32
26/02/2014, 64, 30, 17, 5, 3, 4, 30
