date,pm25,pm10,o3,no2,so2,co,psi
31/12/2013, , 32, 21, 5, 1, 6, 29
01/01/2014, 69, 32, 19, 6, 1, 7, 35
02/01/2014, 70, 34, 16, 8, 2, 5, 30
03/01/2014, 72, 26, 11, 9, 2, 5, 24
04/01/2014, 59, 20, 7, 6, 1, 4, 13
05/01/2014, 50, 16, 6, 8, , 4, 20
06/01/2014, 44, 31, 11, 10, 1, 5, 34
07/01/2014, 65, 33, 7, 8, 1, 4, 28
08/01/2014, 67, 24, 6, 10, 1, 4, 19
09/01/2014, 56, 27, 16, 13, 3, 6, 24
10/01/2014, 59, 24, 13, 7, 3, 4, 16
11/01/2014, 57, 23, 14, 5, 1, 3, 20
12/01/2014, 53, 25, 18, 5, 1, 4, 27
13/01/2014, 50, 34, 14, 7, 1, 4, 33
14/01/2014, 60, 35, 18, 7, 2, 5, 36
15/01/2014, 67, 37, 25, 7, 2, 6, 37
16/01/2014, 74, 33, 25, 6, 2, 5, 31
17/01/2014, 71, 29, 16, 6, 1, 4, 28
18/01/2014, 61, 29, 18, 6, 1, 4, 29
19/01/2014, 56, 29, 17, 7, 1, 4, 30
20/01/2014, 58, 30, 21, 7, 2, 4, 34
21/01/2014, 62, 35, 21, 8, 1, 5, 33
22/01/2014, 71, 33, 29, 6, , 5, 45
23/01/2014, 79, 43, 25, 6, 1, 3, 47
24/01/2014, 89, 42, 18, 7, , , 42
25/01/2014, 85, 39, 29, 5, , 3, 38
26/01/2014, 77, 33, 22, 6, , 2, 31
27/01/2014, 68, 31, 16, 6, , 2, 32
28/01/2014, 64, 32, 15, 5, , 3, 26
29/01/2014, 61, 27, 20, 6, , 3, 24
30/01/2014, 57, 26, 20, 3, , 3, 26
31/01/2014, 58, 25, 25, 4, 1, 4, 24
01/02/2014, 58, 23, 22, 3, , 3, 23
02/02/2014, 55, 22, 23, 6, , 6, 21
03/02/2014, 56, 26, 22, 8, 1, 4, 30
04/02/2014, 63, 32, 21, 6, , 4, 32
05/02/2014, 73, 29, 15, 7, 1, 3, 24
06/02/2014, 64, 25, 13, 7, 1, 4, 25
07/02/2014, 57, 34, 19, 9, , 5, 39
08/02/2014, 73, 34, 31, 7, , 5, 30
09/02/2014, 74, 30, 28, 9, 2, 5, 31
10/02/2014, 68, 30, 13, 7, 2, 4, 29
11/02/2014, 65, 30, 11, 6, 1, 4, 29
12/02/2014, 65, 35, 9, 6, , 5, 34
13/02/2014, 69, 33, 10, 6, , 6, 31
14/02/2014, 64, 32, 15, 6, , 6, 35
15/02/2014, 65, 32, 18, 5, 1, 5, 31
16/02/2014, 66, 33, 13, 6, , 5, 34
17/02/2014, 67, 38, 10, 7, , 7, 34
18/02/2014, 74, 34, 11, 6, , 5, 32
19/02/2014, 70, 29, 12, 5, , 1, 26
20/02/2014, 62, 33, 8, 6, 1, 2, 30
21/02/2014, 63, 34, 15, 5, , 3, 33
22/02/2014, 66, 36, 21, 5, , 3, 32
23/02/2014, 63, 32, 21, 7, 1, 4, 35
24/02/2014, 68, 34, 15, 6, 1, 3, 35
25/02/2014, 67, 34, 14, 6, 1, 4, 32
26/02/2014, 67, 31, 12, 6, 1, 4, 30
27/02/2014, 64, 33, 12, 6, , 6, 33
28/02/2014, 67, 32, 12, 6, , 4, 32
01/03/2014, 65, 32, 22, 4, , 4, 28
02/03/2014, 63, 28, 21, 7, 1, 4, 31
03/03/2014, 60, 41, 23, 8, 1, 5, 46
04/03/2014, 79, 40, 16, 7, 1, 5, 29
05/03/2014, 77, 33, 18, 6, , 5, 31
06/03/2014, 61, 41, 19, 8, , 3, 44
07/03/2014, 81, 49, 18, 7, 1, 2, 46
08/03/2014, 93, 51, 24, 5, 1, 2, 40
09/03/2014, 97, 43, 18, 6, 1, 2, 44
10/03/2014, 85, 50, 19, 6, , 3, 46
11/03/2014, 97, 67, 18, 5, 1, 5, 58
12/03/2014, 140, 57, 23, 7, 1, 4, 56
13/03/2014, 108, 63, 16, 6, 2, 6, 56
14/03/2014, 134, 56, 9, 4, , 4, 38
15/03/2014, 101, 35, 4, 4, 2, 4, 24
16/03/2014, 68, 18, 2, 7, 2, 3, 19
17/03/2014, 47, 26, 10, 8, , 4, 26
18/03/2014, 56, 31, 21, 8, , 5, 31
19/03/2014, 66, 39, 16, 9, 2, 5, 33
20/03/2014, 74, 34, 21, 11, 3, 5, 33
21/03/2014, 70, 39, 22, 7, 3, 2, 39
22/03/2014, 78, 39, 23, 4, 3, 2, 28
23/03/2014, 77, 29, 17, 7, 3, 2, 32
24/03/2014, 66, 38, 15, 6, 3, 3, 35
25/03/2014, 79, 38, 12, 6, 4, 5, 35
26/03/2014, 73, 35, 13, 7, 3, 7, 35
