date,pm25,pm10,o3,no2,so2,co,psi
31/12/2013, , 27, 14, 9, 1, 4, 29
01/01/2014, 62, 30, 14, 7, 2, , 35
02/01/2014, 64, 29, 10, 10, 2, , 30
03/01/2014, 61, 20, 11, 8, 2, 4, 24
04/01/2014, 55, 16, 6, 7, 3, 4, 13
05/01/2014, 45, 13, 4, 10, 3, 4, 20
06/01/2014, 36, 28, 9, 10, 3, 5, 34
07/01/2014, 65, 29, 11, 8, 3, 4, 28
08/01/2014, 64, 18, 5, 10, 3, 4, 19
09/01/2014, 48, 18, 10, 14, 5, 4, 24
10/01/2014, 49, 18, 11, 8, 7, 4, 16
11/01/2014, 46, 17, 8, 9, 3, 3, 20
12/01/2014, 40, 22, 13, 8, 3, 4, 27
13/01/2014, 48, 30, 11, 10, 3, , 33
14/01/2014, 54, 32, 14, 9, 3, 5, 36
15/01/2014, 59, 35, 18, 10, 3, 5, 37
16/01/2014, 67, 31, 17, 10, 2, 4, 31
17/01/2014, 63, 27, 13, 9, 2, 3, 28
18/01/2014, 50, 27, 16, 6, 1, , 29
19/01/2014, 44, 27, 15, 8, 1, , 30
20/01/2014, 50, 27, 17, 10, 2, 4, 34
21/01/2014, 54, 32, 19, 11, 2, , 33
22/01/2014, 62, 36, 22, 11, 2, 5, 45
23/01/2014, 72, 44, 20, 11, 3, , 47
24/01/2014, 80, 41, 20, 7, 3, 4, 42
25/01/2014, 77, 38, 24, 8, 3, 4, 38
26/01/2014, 75, 33, 18, 6, 3, 4, 31
27/01/2014, 67, 29, 15, 6, 3, 3, 32
28/01/2014, 61, 28, 15, 5, 2, 3, 26
29/01/2014, 54, 23, 18, 6, 1, , 24
30/01/2014, 47, 24, 19, 5, 1, 3, 26
31/01/2014, 53, 24, 19, 8, 1, 3, 24
01/02/2014, 53, 21, 18, 10, 2, 4, 23
02/02/2014, 48, 20, 20, 9, 2, 8, 21
03/02/2014, 48, 24, 24, 9, 3, 4, 30
04/02/2014, 55, 30, 23, 8, 3, 3, 32
05/02/2014, 63, 25, 17, 9, 3, 3, 24
06/02/2014, 51, 22, 18, 10, 3, 4, 25
07/02/2014, 50, 30, 19, 10, 3, 4, 39
08/02/2014, 69, 31, 24, 10, 4, 4, 30
09/02/2014, 68, 30, 19, 12, 6, 4, 31
10/02/2014, 64, 27, 17, 9, 5, 4, 29
11/02/2014, 57, 27, 16, 7, 1, 3, 29
12/02/2014, 55, 30, 14, 7, 1, , 34
13/02/2014, 60, 30, 14, 7, 2, 3, 31
14/02/2014, 59, 30, 17, 6, 3, 4, 35
15/02/2014, 60, 32, 18, 6, 3, , 31
16/02/2014, 65, 31, 15, 6, 2, 4, 34
17/02/2014, 62, 35, 14, 7, 1, 4, 34
18/02/2014, 68, 31, 15, 7, 1, 3, 32
19/02/2014, 61, 25, 14, 5, , 3, 26
20/02/2014, 55, 27, 8, 5, 1, , 30
21/02/2014, 54, 29, 14, 6, 1, 3, 33
22/02/2014, 56, 29, 17, 6, 1, 4, 32
23/02/2014, 60, 32, 20, 7, 1, 4, 35
24/02/2014, 61, 32, 19, 10, 1, 3, 35
25/02/2014, 63, 32, 16, 7, 1, 4, 32
26/02/2014, 63, 29, 14, 6, 1, , 30
27/02/2014, 59, 31, 14, 5, 2, 6, 33
28/02/2014, 62, 29, 14, 5, 2, 4, 32
01/03/2014, 60, 27, 17, 6, 2, 4, 28
02/03/2014, 55, 27, 17, 9, 3, 5, 31
03/03/2014, 56, 36, 22, 9, 3, 5, 46
04/03/2014, 72, 33, 18, 9, 1, 3, 29
05/03/2014, 66, 26, 18, 6, , 3, 31
06/03/2014, 55, 34, 22, 7, 2, 4, 44
07/03/2014, 75, 46, 26, 7, 2, 5, 46
08/03/2014, 99, 46, 25, 6, 2, 5, 40
09/03/2014, 101, 37, 23, 5, 1, 5, 44
10/03/2014, 81, 42, 21, 8, 2, 5, 46
11/03/2014, 90, 59, 21, 7, 2, 6, 58
12/03/2014, 142, 50, 26, 7, 1, 6, 56
13/03/2014, 107, 58, 22, 8, 2, 7, 56
14/03/2014, 141, 49, 11, 6, 2, 5, 38
15/03/2014, 110, 27, 7, 8, 2, 4, 24
